,v_ref,t_setup_bg,p_supply
135,0.8792111982404166,4.819816541084442e-09,-0.0001469925264354742
136,0.7356546784830309,4.6811781703213564e-09,-3.2538504185056436e-05
137,0.7361775864894693,5.386494788109403e-09,-3.5829875259443426e-05
138,0.736045308348175,5.689293448395813e-09,-3.681541318270627e-05
139,0.7337925335979115,6.641166956116609e-09,-4.940632236244615e-05
140,0.8056297470794024,3.7651556050572475e-09,-8.474625855363615e-05
141,0.8076836454883721,4.382064805550342e-09,-8.030919350181053e-05
142,0.8080027265788261,4.625955830904434e-09,-8.130350705711243e-05
143,0.806748274557041,5.566826863889952e-09,-9.00591545561667e-05
144,0.8746517940173947,3.1037566318059922e-09,-0.0001746759586806149
145,0.8784724168953565,3.686505232282589e-09,-0.00015749692692080107
146,0.8793125111248117,3.964548642416228e-09,-0.0001517862701853528
147,0.8792111982404166,4.819816541084442e-09,-0.0001469925264354742
148,0.7343354731922128,4.019609844963583e-09,-4.461473864745383e-05
149,0.735446734447406,4.64001740711363e-09,-4.7066794307966555e-05
150,0.7355323680013081,4.9230320139229e-09,-5.051532278465296e-05
151,0.7340883732930492,5.843660129121484e-09,-5.980517173821121e-05
152,0.8048962654920117,3.256007382002871e-09,-0.00010911909275611454
153,0.8075201792019153,3.878318507423311e-09,-0.00010309309130261435
154,0.8080566570888548,4.089857972746152e-09,-0.00010038082756721435
155,0.8076267509440597,4.985480140364724e-09,-0.00010687975702900044
156,0.8744552783034344,2.7777693576798676e-09,-0.00021817446538202343
157,0.8788800081319272,3.2748386711454995e-09,-0.00018752550606027468
158,0.8799502981659804,3.6058194177996807e-09,-0.000183449345029235
159,0.8807201565866554,4.3791931054582235e-09,-0.00016957160737765743
160,0.7343354731922128,4.019609844963583e-09,-4.461473864745383e-05
161,0.735446734447406,4.64001740711363e-09,-4.7066794307966555e-05
162,0.7355323680013081,4.9230320139229e-09,-5.051532278465296e-05
163,0.7340883732930492,5.843660129121484e-09,-5.980517173821121e-05
164,0.8048962654920117,3.256007382002871e-09,-0.00010911909275611454
165,0.8075201792019153,3.878318507423311e-09,-0.00010309309130261435
166,0.8080566570888548,4.089857972746152e-09,-0.00010038082756721435
167,0.8076267509440597,4.985480140364724e-09,-0.00010687975702900044
168,0.8744552783034344,2.7777693576798676e-09,-0.00021817446538202343
169,0.8788800081319272,3.2748386711454995e-09,-0.00018752550606027468
170,0.8799502981659804,3.6058194177996807e-09,-0.000183449345029235
171,0.8807201565866554,4.3791931054582235e-09,-0.00016957160737765743
172,0.7343354731922128,4.019609844963583e-09,-4.461473864745383e-05
173,0.735446734447406,4.64001740711363e-09,-4.7066794307966555e-05
174,0.7355323680013081,4.9230320139229e-09,-5.051532278465296e-05
175,0.7340883732930492,5.843660129121484e-09,-5.980517173821121e-05
176,0.8048962654920117,3.256007382002871e-09,-0.00010911909275611454
177,0.8075201792019153,3.878318507423311e-09,-0.00010309309130261435
178,0.8080566570888548,4.089857972746152e-09,-0.00010038082756721435
179,0.8076267509440597,4.985480140364724e-09,-0.00010687975702900044
180,0.8744552783034344,2.7777693576798676e-09,-0.00021817446538202343
181,0.8788800081319272,3.2748386711454995e-09,-0.00018752550606027468
182,0.8799502981659804,3.6058194177996807e-09,-0.000183449345029235
183,0.8807201565866554,4.3791931054582235e-09,-0.00016957160737765743
184,0.7343354731922128,4.019609844963583e-09,-4.461473864745383e-05
185,0.735446734447406,4.64001740711363e-09,-4.7066794307966555e-05
186,0.7355323680013081,4.9230320139229e-09,-5.051532278465296e-05
187,0.7340883732930492,5.843660129121484e-09,-5.980517173821121e-05
188,0.8048962654920117,3.256007382002871e-09,-0.00010911909275611454
189,0.8075201792019153,3.878318507423311e-09,-0.00010309309130261435
190,0.8080566570888548,4.089857972746152e-09,-0.00010038082756721435
191,0.8076267509440597,4.985480140364724e-09,-0.00010687975702900044
192,0.8744552783034344,2.7777693576798676e-09,-0.00021817446538202343
193,0.8788800081319272,3.2748386711454995e-09,-0.00018752550606027468
194,0.8799502981659804,3.6058194177996807e-09,-0.000183449345029235
195,0.8807201565866554,4.3791931054582235e-09,-0.00016957160737765743
