,vioff
180,301.40073812266644
181,288.2571718501249
182,295.7838052468509
183,293.44236401361195
184,292.6130925863479
185,296.62079080928015
186,284.569298219725
187,290.94122984940884
188,289.83592916020484
189,298.9734482223454
190,290.38458610271465
191,294.605840495665
192,294.75341144344105
193,296.9888478433107
194,292.65755948896793
195,296.4636137100803
196,293.25271481438676
197,289.45231636541433
198,297.2587092619589
199,293.1521989338178
200,290.3498036744081
201,291.35577620479285
202,290.1808877561359
203,299.77135887154145
204,301.4521763830325
205,284.61385028950605
206,293.718032931664
207,296.408619743018
208,289.490216836566
209,287.9887779664492
210,290.4933053406339
211,290.10128947866565
212,293.0636847927619
213,294.43719099187115
214,295.46809563663993
215,293.6704998717539
216,294.3320462930583
217,290.5559723708032
218,293.4928074758632
219,290.7169242561474
220,296.17319248289033
221,293.607935147866
222,290.84903806903765
223,295.68467018128456
224,290.07083862299413
225,285.2923222709999
226,285.776787287436
227,285.8172659771714
228,292.28109100748554
229,293.47704554202
230,296.5776828967854
231,297.4555636351115
232,291.9331969499881
233,293.05059253814466
234,296.9831437963507
235,288.56726032976485
236,291.84405561929384
237,298.13773735854164
238,303.83555969227024
239,293.02037063998637
240,289.0737610200691
241,297.54631662845696
242,290.4400476340127
243,293.09219031555375
244,291.1054754235749
245,295.0363207958251
246,287.1877099717035
247,298.72671618126844
248,295.54391182421244
249,297.484810602023
250,294.7334153221306
251,289.9155108200312
252,292.269887300807
253,287.41959938232077
254,293.54715187110816
255,293.0300524491068
256,293.6405353371551
257,293.8318728259445
258,285.30162778196467
259,292.06270317470586
260,286.19741987311886
261,295.3509611243017
262,291.02055330300095
263,287.0281106881293
264,290.99198609453384
265,288.3691884914519
266,289.8114462223399
267,292.6237638658623
268,295.58687830413584
269,294.68114715180013
270,292.5261879290472
271,288.24802408224554
272,287.93284727513617
273,288.6129787355198
274,291.941204949851
275,292.99169677860806
276,297.9592359210129
277,292.92409109888763
278,286.16630094868657
279,293.10876334652374
280,289.6942962192609
281,293.10726988100924
282,289.2383542841844
283,292.6211921309452
284,294.98317030399124
285,289.8333037524548
286,289.03733356529153
287,296.14026834177724
288,290.84745036209614
289,290.63176491420853
290,291.52553419614134
291,289.2412967012538
292,294.184472709862
293,298.1397266454614
294,297.16668486366336
295,291.18407263050943
296,289.17317889719254
297,294.8554225479778
298,290.1420138836186
299,300.0027025544676
